Tokens            Lexemes

Separator         %%
Keyword           integer
Identifier        num1
Separator         ;
Keyword           integer
Identifier        num2
Separator         ;
Keyword           integer
Identifier        gcd
Separator         ;
Identifier        num1
Operator          =
Integer           834
Separator         ;
Identifier        num2
Operator          =
Integer           4
Separator         ;
Keyword           while
Separator         (
Identifier        num1
Operator          /=
Identifier        num2
Separator         )
Keyword           begin
Keyword           if
Separator         (
Identifier        num1
Operator          >
Identifier        num2
Separator         )
Identifier        num1
Operator          =
Identifier        num1
Operator          -
Identifier        num2
Separator         ;
Keyword           else
Identifier        num2
Operator          =
Identifier        num2
Operator          -
Identifier        num1
Separator         ;
Keyword           endif
Keyword           end
Identifier        gcd
Operator          =
Identifier        num1
Separator         ;
Keyword           put
Separator         (
Identifier        gcd
Separator         )
Separator         ;
Separator         %%
