Tokens            Lexemes

Separator         %%
Keyword           integer
Identifier        number
Separator         ;
Keyword           integer
Identifier        rema1nder
Separator         ;
Keyword           integer
Identifier        r3verse
Separator         ;
Identifier        number
Operator          =
Integer           36572
Separator         ;
Keyword           while
Separator         (
Identifier        number
Operator          /=
Integer           0
Separator         )
Keyword           begin
Identifier        rema1nder
Operator          =
Identifier        number
Operator          %
Integer           10
Separator         ;
Identifier        r3verse
Operator          =
Identifier        r3verse
Operator          *
Integer           10
Operator          +
Identifier        rema1nder
Separator         ;
Identifier        number
Operator          =
Identifier        number
Operator          /
Integer           10
Separator         ;
Keyword           end
Separator         %%
