Tokens            Lexemes

Separator         %%
Keyword           integer
Identifier        n
Separator         ;
Keyword           integer
Identifier        t1
Separator         ;
Keyword           integer
Identifier        t2
Separator         ;
Keyword           integer
Identifier        nextT
Separator         ;
Keyword           integer
Identifier        i
Separator         ;
Identifier        n
Operator          =
Integer           10
Operator          +
Integer           1
Separator         ;
Identifier        t1
Operator          =
Integer           0
Separator         ;
Identifier        t2
Operator          =
Integer           1
Separator         ;
Identifier        nextT
Operator          =
Integer           0
Separator         ;
Identifier        i
Operator          =
Integer           0
Separator         ;
Keyword           while
Separator         (
Identifier        i
Operator          <
Identifier        n
Separator         )
Keyword           begin
Keyword           if
Separator         (
Identifier        i
Operator          ==
Integer           1
Separator         )
Keyword           put
Separator         (
Identifier        t1
Separator         )
Separator         ;
Keyword           endif
Keyword           if
Separator         (
Identifier        i
Operator          ==
Integer           2
Separator         )
Keyword           put
Separator         (
Identifier        t2
Separator         )
Separator         ;
Keyword           endif
Identifier        nextT
Operator          =
Identifier        t1
Operator          +
Identifier        t2
Separator         ;
Identifier        t1
Operator          =
Identifier        t2
Separator         ;
Identifier        t2
Operator          =
Identifier        nextT
Separator         ;
Keyword           put
Separator         (
Identifier        nextT
Separator         )
Separator         ;
Identifier        i
Operator          =
Identifier        i
Operator          +
Integer           1
Separator         ;
Keyword           end
Separator         %%
