Tokens            Lexemes

Operator          %%
Keyword           integer
Identifier        a
Separator         ;
Keyword           integer
Identifier        b
Separator         ;
Keyword           integer
Identifier        temp
Separator         ;
Identifier        a
Operator          =
Integer           50
Separator         ;
Identifier        b
Operator          =
Integer           2
Separator         ;
Identifier        temp
Operator          =
Identifier        a
Separator         ;
Identifier        a
Operator          =
Identifier        b
Separator         ;
Identifier        b
Operator          =
Identifier        temp
Separator         ;
Operator          %%
